timestamp,symbol,decision,lstm_signal,xgb_signal,technical_signal,sentiment_score,liquidity_score,rl_decision,confidence_score,executed
2025-04-01 05:45:01,BTCUSDT,HOLD,0,1,HOLD,0.0,1.0,HOLD,1.0,False
2025-04-01 14:52:18,BTCUSDT,HOLD,0,,HOLD,0.0,1.0,HOLD,0.0,False
